,Path,Length,Shruti,Stroke
0,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224030__akshaylaya__bheem-b-001.wav,17921.0,B,bheem
1,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224031__akshaylaya__bheem-b-002.wav,11777.0,B,bheem
2,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224032__akshaylaya__bheem-b-003.wav,7425.0,B,bheem
3,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224033__akshaylaya__bheem-b-004.wav,11522.0,B,bheem
4,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224034__akshaylaya__bheem-b-005.wav,20993.0,B,bheem
5,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224035__akshaylaya__cha-b-001.wav,4609.0,B,cha
6,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224036__akshaylaya__cha-b-002.wav,4865.0,B,cha
7,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224037__akshaylaya__cha-b-003.wav,9729.0,B,cha
8,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224038__akshaylaya__cha-b-004.wav,4865.0,B,cha
9,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224039__akshaylaya__cha-b-005.wav,8705.0,B,cha
10,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224040__akshaylaya__cha-b-006.wav,9217.0,B,cha
11,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224041__akshaylaya__cha-b-007.wav,8961.0,B,cha
12,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224042__akshaylaya__cha-b-008.wav,9217.0,B,cha
13,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224043__akshaylaya__cha-b-009.wav,9217.0,B,cha
14,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224044__akshaylaya__cha-b-010.wav,4609.0,B,cha
15,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224045__akshaylaya__cha-b-011.wav,4865.0,B,cha
16,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224046__akshaylaya__cha-b-012.wav,4865.0,B,cha
17,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224047__akshaylaya__cha-b-013.wav,8961.0,B,cha
18,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224048__akshaylaya__cha-b-014.wav,4353.0,B,cha
19,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224049__akshaylaya__cha-b-015.wav,4609.0,B,cha
20,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224050__akshaylaya__cha-b-016.wav,4353.0,B,cha
21,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224051__akshaylaya__cha-b-017.wav,6913.0,B,cha
22,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224052__akshaylaya__cha-b-018.wav,6657.0,B,cha
23,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224053__akshaylaya__cha-b-019.wav,6657.0,B,cha
24,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224054__akshaylaya__cha-b-020.wav,4609.0,B,cha
25,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224055__akshaylaya__cha-b-021.wav,4609.0,B,cha
26,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224056__akshaylaya__cha-b-022.wav,5121.0,B,cha
